0, 5, 10, 15, 20
28.5062, 25.8944, 23.4514, 21.1754, 19.0633
28.5078, 25.8959, 23.4529, 21.1769, 19.0647
28.5070, 25.8952, 23.4522, 21.1761, 19.0641
28.5078, 25.8959, 23.4528, 21.1769, 19.0648
51.4195, 49.0466, 46.7603, 44.5593, 42.4423
51.4316, 49.0586, 46.7722, 44.5712, 42.4541
51.4211, 49.0482, 46.7620, 44.5611, 42.4442
51.4318, 49.0588, 46.7715, 44.5714, 42.4543
