0,5,10,15,20
15.1119,12.1229,9.5495,7.3867,5.6119
15.1132,12.1243,9.5509,7.3881,5.6132
15.1122,12.1233,9.5498,7.387,5.6122
15.1133,12.1243,9.5509,7.388,5.6131
23.9279,21.357,19.0032,16.8596,14.9173
23.9394,21.3684,19.0144,16.8706,14.928
23.9283,21.3577,19.0038,16.8603,14.918
23.9395,21.3685,19.0146,16.8708,14.9282
